0.975000 	 88.118187 	 0.229751 	 
0.980000 	 88.126602 	 0.231545 	 
0.985000 	 88.134956 	 0.233341 	 
0.990000 	 88.143250 	 0.235140 	 
0.995000 	 88.151482 	 0.236942 	 
1.000000 	 88.159653 	 0.238747 	 
1.005000 	 88.167763 	 0.240555 	 
1.010000 	 88.175812 	 0.242365 	 
1.015000 	 88.183800 	 0.244178 	 
1.020000 	 88.191734 	 0.245994 	 
1.025000 	 88.199608 	 0.247813 	 
1.030000 	 88.207420 	 0.249634 	 
1.035000 	 88.215172 	 0.251458 	 
1.040000 	 88.222870 	 0.253284 	 
1.045000 	 88.230507 	 0.255113 	 
1.050000 	 88.238091 	 0.256945 	 
1.055000 	 88.245613 	 0.258779 	 
1.060000 	 88.253075 	 0.260616 	 
1.065000 	 88.260483 	 0.262455 	 
1.070000 	 88.267830 	 0.264296 	 
1.075000 	 88.275124 	 0.266140 	 
1.080000 	 88.282364 	 0.267987 	 
1.085000 	 88.289543 	 0.269835 	 
1.090000 	 88.296669 	 0.271686 	 
1.095000 	 88.303734 	 0.273540 	 
1.100000 	 88.310745 	 0.275396 	 
1.105000 	 88.317703 	 0.277254 	 
1.110000 	 88.324608 	 0.279114 	 
1.115000 	 88.331451 	 0.280976 	 
1.120000 	 88.338242 	 0.282841 	 
1.125000 	 88.344978 	 0.284708 	 
1.130000 	 88.351662 	 0.286577 	 
1.135000 	 88.358292 	 0.288449 	 
1.140000 	 88.364868 	 0.290322 	 
1.145000 	 88.371391 	 0.292197 	 
1.150000 	 88.377861 	 0.294075 	 
1.155000 	 88.384277 	 0.295955 	 
1.160000 	 88.390640 	 0.297836 	 
1.165000 	 88.396950 	 0.299720 	 
1.170000 	 88.403206 	 0.301606 	 
1.175000 	 88.409409 	 0.303494 	 
1.180000 	 88.415558 	 0.305383 	 
1.185000 	 88.421654 	 0.307275 	 
1.190000 	 88.427704 	 0.309169 	 
1.195000 	 88.433701 	 0.311064 	 
1.200000 	 88.439644 	 0.312961 	 
1.205000 	 88.445534 	 0.314861 	 
1.210000 	 88.451378 	 0.316762 	 
1.215000 	 88.457169 	 0.318665 	 
1.220000 	 88.462906 	 0.320569 	 
1.225000 	 88.468597 	 0.322476 	 
1.230000 	 88.474236 	 0.324384 	 
1.235000 	 88.479828 	 0.326294 	 
1.240000 	 88.485367 	 0.328206 	 
1.245000 	 88.490860 	 0.330120 	 
1.250000 	 88.496300 	 0.332035 	 
1.255000 	 88.501694 	 0.333952 	 
1.260000 	 88.507042 	 0.335871 	 
1.265000 	 88.512337 	 0.337791 	 
1.270000 	 88.517586 	 0.339713 	 
1.275000 	 88.522781 	 0.341636 	 
1.280000 	 88.527931 	 0.343562 	 
1.285000 	 88.533035 	 0.345488 	 
1.290000 	 88.538094 	 0.347417 	 
1.295000 	 88.543098 	 0.349347 	 
1.300000 	 88.548058 	 0.351278 	 
1.305000 	 88.552971 	 0.353211 	 
1.310000 	 88.557838 	 0.355146 	 
1.315000 	 88.562660 	 0.357082 	 
1.320000 	 88.567436 	 0.359019 	 
1.325000 	 88.572166 	 0.360958 	 
1.330000 	 88.576851 	 0.362898 	 
1.335000 	 88.581490 	 0.364840 	 
1.340000 	 88.586082 	 0.366784 	 
1.345000 	 88.590630 	 0.368728 	 
1.350000 	 88.595131 	 0.370674 	 
1.355000 	 88.599586 	 0.372622 	 
1.360000 	 88.603996 	 0.374571 	 
1.365000 	 88.608360 	 0.376521 	 
1.370000 	 88.612679 	 0.378473 	 
1.375000 	 88.616959 	 0.380425 	 
1.380000 	 88.621193 	 0.382380 	 
1.385000 	 88.625381 	 0.384335 	 
1.390000 	 88.629524 	 0.386292 	 
1.395000 	 88.633629 	 0.388250 	 
1.400000 	 88.637688 	 0.390210 	 
1.405000 	 88.641701 	 0.392170 	 
1.410000 	 88.645676 	 0.394132 	 
1.415000 	 88.649605 	 0.396095 	 
1.420000 	 88.653488 	 0.398059 	 
1.425000 	 88.657333 	 0.400025 	 
1.430000 	 88.661133 	 0.401992 	 
1.435000 	 88.664894 	 0.403959 	 
1.440000 	 88.668610 	 0.405929 	 
1.445000 	 88.672287 	 0.407899 	 
1.450000 	 88.675926 	 0.409870 	 
1.455000 	 88.679520 	 0.411843 	 
1.460000 	 88.683075 	 0.413816 	 
1.465000 	 88.686584 	 0.415791 	 
1.470000 	 88.690056 	 0.417767 	 
1.475000 	 88.693489 	 0.419744 	 
1.480000 	 88.696877 	 0.421722 	 
1.485000 	 88.700226 	 0.423701 	 
1.490000 	 88.703537 	 0.425681 	 
1.495000 	 88.706810 	 0.427662 	 
1.500000 	 88.710045 	 0.429644 	 
1.505000 	 88.713234 	 0.431628 	 
1.510000 	 88.716385 	 0.433612 	 
1.515000 	 88.719498 	 0.435597 	 
1.520000 	 88.722572 	 0.437583 	 
1.525000 	 88.725609 	 0.439571 	 
1.530000 	 88.728607 	 0.441559 	 
1.535000 	 88.731567 	 0.443548 	 
1.540000 	 88.734489 	 0.445538 	 
1.545000 	 88.737373 	 0.447529 	 
1.550000 	 88.740219 	 0.449521 	 
1.555000 	 88.743027 	 0.451514 	 
1.560000 	 88.745796 	 0.453508 	 
1.565000 	 88.748528 	 0.455503 	 
1.570000 	 88.751221 	 0.457499 	 
1.575000 	 88.753876 	 0.459495 	 
1.580000 	 88.756493 	 0.461493 	 
1.585000 	 88.759079 	 0.463491 	 
1.590000 	 88.761627 	 0.465490 	 
1.595000 	 88.764137 	 0.467490 	 
1.600000 	 88.766609 	 0.469491 	 
1.605000 	 88.769051 	 0.471493 	 
1.610000 	 88.771454 	 0.473496 	 
1.615000 	 88.773819 	 0.475499 	 
1.620000 	 88.776146 	 0.477503 	 
1.625000 	 88.778442 	 0.479508 	 
1.630000 	 88.780701 	 0.481514 	 
1.635000 	 88.782928 	 0.483521 	 
1.640000 	 88.785118 	 0.485528 	 
1.645000 	 88.787270 	 0.487536 	 
1.650000 	 88.789391 	 0.489545 	 
1.655000 	 88.791473 	 0.491555 	 
1.660000 	 88.793526 	 0.493565 	 
